feature,comparison,odds_ratio,ci_lo,ci_hi,p_value
Identity Fusion,terrorgram,11.63198256312168,6.2737710946376986,21.566457607038394,6.703488882402058e-15
Identity Fusion,white-supremacist,5.8048203778594445,4.173293374207747,8.074184246778255,1.5271110428961088e-25
Violence Condoning,terrorgram,3.14057510931302,2.0888615407528546,4.721812252659719,3.786910811981563e-8
Violence Condoning,white-supremacist,2.7259538759747897,2.1789222576682454,3.4103210923615106,1.707068379386195e-18
Existential Threat,terrorgram,50.248844988483874,19.373516328065005,130.32979557866707,7.932102101268254e-16
Existential Threat,white-supremacist,16.448421704180753,5.473628074550957,49.42801609346829,6.094619165714674e-7
Outgroup Othering,terrorgram,2.5847414711204606,1.4484302978842098,4.612502570740925,0.0013098337909578813
Outgroup Othering,white-supremacist,2.3198286838381508,1.6909345298019949,3.182621815043556,1.829367107000142e-7
