category,year_month,n,k,prev,feature
white-supremacist,2022-07-01,5918,34,0.005745184183845894,Identity Fusion
white-supremacist,2022-08-01,5915,37,0.006255283178360101,Identity Fusion
white-supremacist,2022-09-01,4385,32,0.007297605473204105,Identity Fusion
white-supremacist,2022-10-01,7552,45,0.005958686440677966,Identity Fusion
white-supremacist,2022-11-01,7621,48,0.006298386038577615,Identity Fusion
white-supremacist,2022-12-01,8049,56,0.006957386010684557,Identity Fusion
white-supremacist,2023-01-01,11729,54,0.004603973058231734,Identity Fusion
white-supremacist,2023-02-01,9085,41,0.004512933406714365,Identity Fusion
white-supremacist,2023-03-01,8761,45,0.005136399954343111,Identity Fusion
white-supremacist,2023-04-01,7766,27,0.003476693278392995,Identity Fusion
white-supremacist,2023-05-01,8630,21,0.002433371958285052,Identity Fusion
white-supremacist,2023-06-01,10900,51,0.004678899082568807,Identity Fusion
white-supremacist,2023-07-01,21411,69,0.003222642566904862,Identity Fusion
white-supremacist,2023-08-01,22274,78,0.003501840711143037,Identity Fusion
white-supremacist,2023-09-01,22828,76,0.003329244787103557,Identity Fusion
white-supremacist,2023-10-01,19700,59,0.00299492385786802,Identity Fusion
white-supremacist,2023-11-01,19743,71,0.0035962113154029275,Identity Fusion
white-supremacist,2023-12-01,17593,55,0.0031262433922582844,Identity Fusion
white-supremacist,2024-01-01,12947,32,0.002471615045956592,Identity Fusion
white-supremacist,2024-02-01,16551,47,0.0028397075705395443,Identity Fusion
white-supremacist,2024-03-01,23298,62,0.002661172632844021,Identity Fusion
white-supremacist,2024-04-01,14651,55,0.0037540099651900893,Identity Fusion
white-supremacist,2024-05-01,1172,3,0.002559726962457338,Identity Fusion
white-supremacist,2024-06-01,9,1,0.1111111111111111,Identity Fusion
white-supremacist,2024-07-01,5,2,0.4,Identity Fusion
white-supremacist,2024-08-01,48,2,0.041666666666666664,Identity Fusion
764,2021-08-01,1,0,0,Violence Condoning
764,2021-09-01,1,0,0,Violence Condoning
764,2021-10-01,3,0,0,Violence Condoning
764,2021-11-01,25,0,0,Violence Condoning
764,2021-12-01,48,1,0.020833333333333332,Violence Condoning
764,2022-01-01,164,1,0.006097560975609756,Violence Condoning
764,2022-02-01,79,2,0.02531645569620253,Violence Condoning
764,2022-03-01,25,0,0,Violence Condoning
764,2022-04-01,26987,382,0.0141549635009449,Violence Condoning
764,2022-05-01,12855,228,0.017736289381563596,Violence Condoning
764,2022-06-01,54199,797,0.01470506835919482,Violence Condoning
764,2022-07-01,35862,571,0.01592214600412693,Violence Condoning
764,2022-08-01,18875,288,0.015258278145695364,Violence Condoning
764,2022-09-01,5692,147,0.025825720309205904,Violence Condoning
764,2022-10-01,3523,100,0.02838489923360772,Violence Condoning
764,2022-11-01,1747,54,0.030910131654264452,Violence Condoning
764,2022-12-01,3925,124,0.03159235668789809,Violence Condoning
764,2023-01-01,439,10,0.022779043280182234,Violence Condoning
764,2023-02-01,1473,21,0.014256619144602852,Violence Condoning
764,2023-03-01,46584,725,0.015563283530826035,Violence Condoning
764,2023-04-01,43212,755,0.017471998518929926,Violence Condoning
764,2023-05-01,10,2,0.2,Violence Condoning
764,2023-06-01,44064,857,0.019448983297022514,Violence Condoning
terrorgram,2020-07-01,22,2,0.09090909090909091,Violence Condoning
terrorgram,2020-08-01,265,22,0.0830188679245283,Violence Condoning
terrorgram,2020-09-01,174,15,0.08620689655172414,Violence Condoning
terrorgram,2020-10-01,25,1,0.04,Violence Condoning
terrorgram,2020-11-01,1,0,0,Violence Condoning
terrorgram,2020-12-01,1,0,0,Violence Condoning
terrorgram,2021-03-01,62,13,0.20967741935483872,Violence Condoning
terrorgram,2021-04-01,5,0,0,Violence Condoning
terrorgram,2021-05-01,2,0,0,Violence Condoning
terrorgram,2021-06-01,1,0,0,Violence Condoning
terrorgram,2021-07-01,15,1,0.06666666666666667,Violence Condoning
terrorgram,2021-08-01,1,0,0,Violence Condoning
terrorgram,2021-09-01,4,0,0,Violence Condoning
terrorgram,2021-10-01,6,0,0,Violence Condoning
terrorgram,2021-11-01,1,0,0,Violence Condoning
terrorgram,2021-12-01,15,0,0,Violence Condoning
terrorgram,2022-01-01,784,35,0.044642857142857144,Violence Condoning
terrorgram,2022-02-01,2058,99,0.048104956268221574,Violence Condoning
terrorgram,2022-03-01,329,56,0.1702127659574468,Violence Condoning
terrorgram,2022-04-01,764,69,0.09031413612565445,Violence Condoning
terrorgram,2022-05-01,545,48,0.08807339449541285,Violence Condoning
terrorgram,2022-06-01,492,30,0.06097560975609756,Violence Condoning
terrorgram,2022-07-01,652,49,0.07515337423312883,Violence Condoning
terrorgram,2022-08-01,1059,75,0.0708215297450425,Violence Condoning
terrorgram,2022-09-01,9522,430,0.045158580130224744,Violence Condoning
terrorgram,2022-10-01,6421,388,0.06042672480921975,Violence Condoning
terrorgram,2022-11-01,7818,475,0.06075722691225377,Violence Condoning
terrorgram,2022-12-01,14322,571,0.039868733417120515,Violence Condoning
terrorgram,2023-01-01,13185,505,0.03830109973454683,Violence Condoning
terrorgram,2023-02-01,8784,304,0.03460837887067395,Violence Condoning
terrorgram,2023-03-01,12686,325,0.025618792369541225,Violence Condoning
terrorgram,2023-04-01,5956,269,0.0451645399597045,Violence Condoning
terrorgram,2023-05-01,717,68,0.09483960948396095,Violence Condoning
terrorgram,2023-06-01,704,105,0.14914772727272727,Violence Condoning
terrorgram,2023-07-01,1004,58,0.05776892430278884,Violence Condoning
terrorgram,2023-08-01,725,48,0.06620689655172414,Violence Condoning
terrorgram,2023-09-01,892,43,0.04820627802690583,Violence Condoning
terrorgram,2023-10-01,1459,180,0.12337217272104181,Violence Condoning
terrorgram,2023-11-01,621,75,0.12077294685990338,Violence Condoning
terrorgram,2023-12-01,1482,100,0.06747638326585695,Violence Condoning
terrorgram,2024-01-01,4453,272,0.06108241634852908,Violence Condoning
terrorgram,2024-02-01,4054,266,0.06561420818944252,Violence Condoning
terrorgram,2024-03-01,2726,205,0.0752017608217168,Violence Condoning
terrorgram,2024-04-01,3135,313,0.09984051036682616,Violence Condoning
terrorgram,2024-05-01,4222,281,0.0665561345333965,Violence Condoning
terrorgram,2024-06-01,132,0,0,Violence Condoning
terrorgram,2024-07-01,1351,24,0.01776461880088823,Violence Condoning
white-supremacist,2021-03-01,1549,118,0.07617817947062622,Violence Condoning
white-supremacist,2021-04-01,1945,164,0.08431876606683805,Violence Condoning
white-supremacist,2021-05-01,3831,250,0.06525711302531977,Violence Condoning
white-supremacist,2021-06-01,2462,155,0.06295694557270512,Violence Condoning
white-supremacist,2021-07-01,1498,110,0.07343124165554073,Violence Condoning
white-supremacist,2021-08-01,1600,127,0.079375,Violence Condoning
white-supremacist,2021-09-01,1770,127,0.07175141242937853,Violence Condoning
white-supremacist,2021-10-01,1638,124,0.0757020757020757,Violence Condoning
white-supremacist,2021-11-01,2454,204,0.08312958435207823,Violence Condoning
white-supremacist,2021-12-01,2223,143,0.06432748538011696,Violence Condoning
white-supremacist,2022-01-01,2049,113,0.05514885309907272,Violence Condoning
white-supremacist,2022-02-01,1648,112,0.06796116504854369,Violence Condoning
white-supremacist,2022-03-01,1936,131,0.06766528925619834,Violence Condoning
white-supremacist,2022-04-01,1502,92,0.06125166444740346,Violence Condoning
white-supremacist,2022-05-01,2713,146,0.0538149649834132,Violence Condoning
white-supremacist,2022-06-01,9351,487,0.052079991444765265,Violence Condoning
white-supremacist,2022-07-01,5918,269,0.045454545454545456,Violence Condoning
white-supremacist,2022-08-01,5915,287,0.0485207100591716,Violence Condoning
white-supremacist,2022-09-01,4387,204,0.04650102575792113,Violence Condoning
white-supremacist,2022-10-01,7552,272,0.036016949152542374,Violence Condoning
white-supremacist,2022-11-01,7621,272,0.03569085421860648,Violence Condoning
white-supremacist,2022-12-01,8050,264,0.03279503105590062,Violence Condoning
white-supremacist,2023-01-01,11732,496,0.04227753153767474,Violence Condoning
white-supremacist,2023-02-01,9087,362,0.03983712996588533,Violence Condoning
white-supremacist,2023-03-01,8760,397,0.045319634703196346,Violence Condoning
white-supremacist,2023-04-01,7766,252,0.03244913726500129,Violence Condoning
white-supremacist,2023-05-01,8630,327,0.03789107763615295,Violence Condoning
white-supremacist,2023-06-01,10897,412,0.037808571166376065,Violence Condoning
white-supremacist,2023-07-01,21419,786,0.03669639105467109,Violence Condoning
white-supremacist,2023-08-01,22278,887,0.0398150641888859,Violence Condoning
white-supremacist,2023-09-01,22828,963,0.042185035920799016,Violence Condoning
white-supremacist,2023-10-01,19700,1251,0.06350253807106598,Violence Condoning
white-supremacist,2023-11-01,19746,791,0.04005874607515446,Violence Condoning
white-supremacist,2023-12-01,17594,787,0.044731158349437306,Violence Condoning
