feature,chi_sq,df,p_value,cramers_v
Identity Fusion,1533.077096964238,2,0,0.045453820013324764
Violence Condoning,4780.538801640274,2,0,0.08025694606813444
Existential Threat,5945.371942803354,2,0,0.08950503618657109
Outgroup Othering,13491.28352351774,2,0,0.1348241287387859
