dcm_group,topic,label,n,prop,feature,category
DCM+,13,Education/Homeschool,7,0.009333333333333334,Identity Fusion,white-supremacist
DCM+,15,Non-English (Spanish/German),6,0.008,Identity Fusion,white-supremacist
DCM-,0,Expletive Chat,61654,0.33343428552886334,Identity Fusion,white-supremacist
DCM-,1,Antisemitism/Racism,35297,0.19089158815830745,Identity Fusion,white-supremacist
DCM-,2,Firearms/Weapons,20338,0.10999102246546894,Identity Fusion,white-supremacist
DCM-,3,Animals/Wehrwolf,10361,0.056033876672471415,Identity Fusion,white-supremacist
DCM-,4,Religious Ideology,9862,0.05333520815982175,Identity Fusion,white-supremacist
DCM-,5,Vaccines/Health,8719,0.047153688901387734,Identity Fusion,white-supremacist
DCM-,6,Appearance/Aesthetics,7134,0.03858176587022595,Identity Fusion,white-supremacist
DCM-,7,Demographics/Heritage,6175,0.033395346824873176,Identity Fusion,white-supremacist
DCM-,8,Generational Conflict,4917,0.026591889933263387,Identity Fusion,white-supremacist
DCM-,9,Law Enforcement,4846,0.026207911046693996,Identity Fusion,white-supremacist
DCM-,10,Fitness/Combat Sports,4894,0.02646750240662823,Identity Fusion,white-supremacist
DCM-,11,Survival/Outdoors,3817,0.020642921268103794,Identity Fusion,white-supremacist
DCM-,12,Age/Time Discussion,3764,0.02035628914150974,Identity Fusion,white-supremacist
DCM-,13,Education/Homeschool,1528,0.008263658291239873,Identity Fusion,white-supremacist
DCM-,14,Technology/Devices,473,0.0025580565260186258,Identity Fusion,white-supremacist
DCM-,15,Non-English (Spanish/German),424,0.0022930570127524257,Identity Fusion,white-supremacist
DCM-,16,Tactical Training/Slurs,423,0.002287648859420462,Identity Fusion,white-supremacist
DCM-,17,Accelerationism,185,0.0010005083664132045,Identity Fusion,white-supremacist
DCM-,18,Channel-Specific,95,5.137745665365105e-4,Identity Fusion,white-supremacist
DCM+,0,Expletive Chat/CSAM,2831,0.8408078408078408,Violence Condoning,764
DCM+,1,Platform Administration,74,0.02197802197802198,Violence Condoning,764
DCM+,2,Race/Ethnicity,129,0.03831303831303831,Violence Condoning,764
DCM+,3,Money/Banking,36,0.010692010692010692,Violence Condoning,764
DCM+,4,Extortion/Leaking,62,0.018414018414018414,Violence Condoning,764
DCM+,5,Media Sharing,41,0.012177012177012177,Violence Condoning,764
DCM+,6,Doxxing/Trolling,49,0.014553014553014554,Violence Condoning,764
DCM+,7,Religion,81,0.024057024057024055,Violence Condoning,764
DCM+,8,Food/Drinks,11,0.003267003267003267,Violence Condoning,764
DCM+,9,Gaming,3,8.91000891000891e-4,Violence Condoning,764
DCM+,10,Time/Dates,3,8.91000891000891e-4,Violence Condoning,764
DCM+,11,Gore/Illegal Content,23,0.006831006831006831,Violence Condoning,764
DCM+,12,Lore/Storytelling,1,2.97000297000297e-4,Violence Condoning,764
DCM+,13,Subculture/Conspiracy,3,8.91000891000891e-4,Violence Condoning,764
DCM+,14,Usernames/Players,11,0.003267003267003267,Violence Condoning,764
DCM+,16,Non-English (German/Dutch),9,0.002673002673002673,Violence Condoning,764
DCM-,0,Expletive Chat/CSAM,155961,0.7464213070425232,Violence Condoning,764
DCM-,1,Platform Administration,15948,0.07632630596568475,Violence Condoning,764
DCM-,2,Race/Ethnicity,7284,0.03486084854866113,Violence Condoning,764
DCM-,3,Money/Banking,6644,0.03179784153724664,Violence Condoning,764
DCM-,4,Extortion/Leaking,3596,0.017210270645385148,Violence Condoning,764
DCM-,5,Media Sharing,3601,0.017234200387661824,Violence Condoning,764
DCM-,6,Doxxing/Trolling,3402,0.016281796645050133,Violence Condoning,764
DCM-,7,Religion,2824,0.013515518437866424,Violence Condoning,764
DCM-,8,Food/Drinks,2737,0.013099140922252268,Violence Condoning,764
DCM-,9,Gaming,2460,0.011773433200124434,Violence Condoning,764
DCM-,10,Time/Dates,1236,0.005915432290794228,Violence Condoning,764
DCM-,11,Gore/Illegal Content,633,0.003029505372227141,Violence Condoning,764
DCM-,12,Lore/Storytelling,636,0.0030438632175931466,Violence Condoning,764
DCM-,13,Subculture/Conspiracy,459,0.0021967503409988276,Violence Condoning,764
DCM-,14,Usernames/Players,384,0.0018378042068486922,Violence Condoning,764
DCM-,15,Statistics/Demographics,416,0.0019909545574194167,Violence Condoning,764
DCM-,16,Non-English (German/Dutch),362,0.0017325133408313193,Violence Condoning,764
DCM-,17,OPSEC/OSINT,253,0.0012108449591997895,Violence Condoning,764
DCM-,18,Appearance Discussion,109,5.216683816315299e-4,Violence Condoning,764
DCM+,0,Expletive Chat,694,0.20381791483113068,Violence Condoning,terrorgram
DCM+,1,Antisemitism/Jews,1117,0.32804698972099855,Violence Condoning,terrorgram
DCM+,2,White Nationalism/Russia-Ukraine,633,0.18590308370044054,Violence Condoning,terrorgram
DCM+,3,Media Sharing,18,0.0052863436123348016,Violence Condoning,terrorgram
DCM+,4,Guns/Violence,274,0.08046989720998532,Violence Condoning,terrorgram
DCM+,5,Animals/Nature,80,0.023494860499265784,Violence Condoning,terrorgram
DCM+,6,Raw Diet/Health,23,0.006754772393538913,Violence Condoning,terrorgram
DCM+,7,Paganism/Satanism,39,0.01145374449339207,Violence Condoning,terrorgram
DCM+,8,Mental Health/Intelligence,41,0.012041116005873716,Violence Condoning,terrorgram
DCM+,9,Non-English (Spanish/Italian),105,0.030837004405286344,Violence Condoning,terrorgram
DCM+,10,Saints/Martyrs,168,0.04933920704845815,Violence Condoning,terrorgram
DCM+,11,Propaganda Documentary,47,0.013803230543318648,Violence Condoning,terrorgram
DCM+,12,Propaganda Materials,10,0.002936857562408223,Violence Condoning,terrorgram
DCM+,13,Social Media/Antisemitism,71,0.020851688693098384,Violence Condoning,terrorgram
DCM+,14,Accelerationism,25,0.007342143906020558,Violence Condoning,terrorgram
DCM+,16,Numbers/Nazi Numerology,47,0.013803230543318648,Violence Condoning,terrorgram
DCM+,17,Infrastructure (Physical/Digital),13,0.0038179148311306903,Violence Condoning,terrorgram
DCM-,0,Expletive Chat,25973,0.40702375728703066,Violence Condoning,terrorgram
DCM-,1,Antisemitism/Jews,8916,0.1397229361248668,Violence Condoning,terrorgram
DCM-,2,White Nationalism/Russia-Ukraine,6449,0.10106249608224159,Violence Condoning,terrorgram
DCM-,3,Media Sharing,3661,0.05737165423431329,Violence Condoning,terrorgram
DCM-,4,Guns/Violence,2582,0.040462608913683945,Violence Condoning,terrorgram
