category,overlap_status,n_topics,n_messages,identity_fusion,violence_condoning,existential_threat,outgroup_othering,composite_dcm
764,Shared,13,41868,0.0011470356297942504,0.008623984710941232,9.078529278256923e-4,0.08169505291068485,0.023093481544811507
764,Unique,6,170470,6.220109732124519e-4,0.017635463356252788,2.7574877526474815e-4,0.08338808842164547,0.025480327881593864
terrorgram,Shared,16,60718,0.007891918609440645,0.054851834159679785,0.025567526605383677,0.23499472921333509,0.0808265021469598
terrorgram,Unique,3,6512,0.004463598583961829,0.011524277811923786,0.00830130668716372,0.04500768049155146,0.0173242158936502
white-supremacist,Shared,18,181867,0.004108097406454168,0.04420175091285029,0.005978045668529192,0.1949364582703232,0.06230608806453921
white-supremacist,Unique,1,3821,7.853403141361257e-4,0.041623036649214656,0.0015702695629416384,0.06725987961266684,0.027809631534739816
