category,theme,n,prop,feature
terrorgram,Occult/Pagan,449,0.03083791208791209,Outgroup Othering
terrorgram,Other,4816,0.33076923076923076,Outgroup Othering
terrorgram,Propaganda,293,0.020123626373626375,Outgroup Othering
terrorgram,Racism/White Nationalism,3025,0.20776098901098902,Outgroup Othering
white-supremacist,Accelerationism,7,1.3506994693680656e-4,Outgroup Othering
white-supremacist,Antisemitism,16119,0.311027496382055,Outgroup Othering
white-supremacist,Appearance,1033,0.019932465026531596,Outgroup Othering
white-supremacist,Firearms/Weapons,1167,0.02251808972503618,Outgroup Othering
white-supremacist,Fitness/Combat Sports,277,0.005344910757356488,Outgroup Othering
white-supremacist,Non-English,82,0.0015822479498311627,Outgroup Othering
white-supremacist,Occult/Pagan,1356,0.026164978292329957,Outgroup Othering
white-supremacist,Other,15408,0.2973082489146165,Outgroup Othering
white-supremacist,Racism/White Nationalism,16119,0.311027496382055,Outgroup Othering
white-supremacist,Survivalism/Outdoors,257,0.004958996623251327,Outgroup Othering
